Video,Video title,Video publish time,Video Tags,Category
b9NzBUentg0,Moderato Origami - My Favorite Paper Plane,05-May-20,origami,
Tgeh-TlehUg,Moderato Origami - A Traditional Origami Crane,06-May-20,origami,
YTyg4pZWpGI,Moderato Origami - My Favorite Paper Airplane,07-May-20,origami,
pg-96Y9a_R0,Moderato Origami - Origami Lotus Bookmark,07-May-20,origami,
RxyLZCvRrcI,Moderato Origami - Annoying Bird Beak (Snapper),08-May-20,origami,
1kCbjVKThTM,Moderato Origami - Flapping Crane,09-May-20,origami,
FRyjpxM4BIY,Paper Plane 001 : China’s (2020) Viral Airplane (100 Exotic Paper Airplanes Challenge),12-May-20,paperplane,
5x4iq4Nj-o0,Welcome to Heap Art,12-May-20,vlog,
qYQtvgeA5Wg,Challenge Definition : 100 Types of Paper Airplane,15-May-20,vlog,
nWDkAkNSMWc,Moderato Origami - a Simple Butterfly,15-May-20,origami,
kETCIalvE88,Show you how to go from 0 to 1000 Subscribers : Recording everything in growing my channel,19-May-20,"vlog,growth",
2Epf-uKlg98,Paper Plane 002 : Classic Paper Airplane (100 Exotic Paper Airplanes Challenge),19-May-20,paperplane,
a6kqr3F4RGk,Which one is for you? 2 Easy Origami Ninja Stars ( Shuriken ) - Star Vs Square,21-May-20,vlog,
XtnlOrkSruY,Moderato Origami - a Paper Balloon (Water Bomb),22-May-20,origami,
V7p7Cw_9AXw,Moderato Origami - An Origami Ninja Moon Star ( Senban Shuriken ),24-May-20,origami,
TVuQioY39oA,Moderato Origami - An Origami Ninja Star ( Shuriken ),24-May-20,origami,
3t9kZO8Fdv4,Paper Plane 003 : Traditional Paper Airplane ( Dart ) (100 Exotic Paper Airplanes Challenge),26-May-20,paperplane,
3aYligwK0BI,Moderato Origami - a Traditional Star Box,29-May-20,origami,
CguFGgVvprA,Moderato Origami - A Transforming Pinwheel,30-May-20,origami,
EbXrPRykn88,Paper Plane 004 : Tumble Wing by Kōsho Uchiyama (100 Exotic Paper Airplanes Challenge),02-Jun-20,paperplane,
9Ji-3VFSWxA,Moderato Origami - A Traditional Origami Boat,04-Jun-20,origami,
PvKPw12B7LQ,Moderato Origami - A Chinese Lion Dance Head,05-Jun-20,origami,
RyHCqnF_Zoc,Why You Should Learn Origami!,06-Jun-20,vlog,
M6j6X0pUykQ,Moderato Origami - An Icosahedron with Sonobe Units,07-Jun-20,origami,
A45Bd6ruHVE,Paper Plane 005 : Astro Tube by Stephen Weiss (100 Exotic Paper Airplanes Challenge),09-Jun-20,paperplane,
liVf81Iv6fY,Moderato Origami - a Simple Windsurfer,10-Jun-20,origami,
AWV-e-p3Y4Y,Moderato Origami - A Simple Sailboat,12-Jun-20,origami,
0iYWCnXHyCc,Moderato Origami - Silvana’s Star Ball (My Version),14-Jun-20,origami,
LGrBb6qLmrg,Moderato Origami - A Traditional Origami Goldfish,15-Jun-20,origami,
hiawYPdeyJM,Paper Plane 006 : Gliding Butterfly by Makoto Yamaguchi (100 Exotic Paper Airplanes Challenge),16-Jun-20,paperplane,
nc86dgr1RB8,Moderato Origami - The Simplest Traditional Origami Frog,17-Jun-20,origami,
NDkiWDUAFWw,Moderato Origami - A Traditional Origami Jumping Frog,18-Jun-20,origami,
8C8Y4a9-LbM,Moderato Origami - A Different Traditional Origami Frog,19-Jun-20,origami,
igk_tg1jjY8,Moderato Origami - The Common Traditional Origami Frog,20-Jun-20,origami,
JcXGYhq0LPo,Moderato Origami - A New Type of Origami Frog,21-Jun-20,origami,
h0zl1xlxMNU,What is Origami and How You are Important?,22-Jun-20,origami,
_67Ye9vuq40,Paper Plane 007 : Dollar Bill Glider 1 by Stephen Weiss (100 Exotic Paper Airplanes Challenge),23-Jun-20,paperplane,
iBqsLSOxSK4,Moderato Origami - A Simple Swan,24-Jun-20,origami,
3UlQEjLangI,Moderato Origami - A Traditional Origami Lily Flower,26-Jun-20,origami,
S5HmevGHPd4,Moderato Origami - A Diamond Window Cube,28-Jun-20,origami,
wSDaGgTmqwY,Paper Plane 008 : Dollar Bill Glider 2 by Stephen Weiss (100 Exotic Paper Airplanes Challenge),30-Jun-20,paperplane,
MVhMjCEQMzw,Moderato Origami - A Simple Rose with My New Twist,01-Jul-20,origami,
R02X0ylQ-kI,Moderato Origami - A Traditional Box and Divider,03-Jul-20,origami,
96-NDuwD3f4,Moderato Origami - A Dodecahedron Using Square Paper,06-Jul-20,origami,
jDw3TqJ2gqg,Paper Plane 009 : Dollar Bill Glider 3 by Stephen Weiss (100 Exotic Paper Airplanes Challenge),07-Jul-20,paperplane,
MMM1KBuooXQ,Moderato Origami - A Traditional Japanese Cicada,10-Jul-20,origami,
BU2V1f0ZjBs,Moderato Origami - An Icosahedral Skeleton by Miyuki Kawamura,12-Jul-20,origami,
Gg6B-1MrH4A,Paper Plane 010 : Little Nicky by Nick Robinson (100 Exotic Paper Airplanes Challenge),14-Jul-20,paperplane,
7-edMFMPvuk,Moderato Origami - A Simple Penguin,17-Jul-20,origami,
JXc14aCtXJA,Moderato Origami - A Modular Origami Spinning Toy by Robert E. Neale,19-Jul-20,origami,
6ZeeZc4nCsA,Paper Plane 011 : Concorde By Kunihiko Kasahara (100 Exotic Paper Airplanes Challenge),21-Jul-20,paperplane,
u9ao8IgOg-8,Moderato Origami - A Rabbit by Kunihiko Kasahara,24-Jul-20,origami,
zSt-w1zG2-I,Moderato Origami - An Origami Fox Puppet,26-Jul-20,origami,
qnEFdbOXGXs,Paper Plane 012 : Backwards Plane by Carlos Gonzalez Garcia (100 Exotic Paper Airplanes Challenge),28-Jul-20,paperplane,
4kPN0WOz-OA,Moderato Origami - A Peacock By Kunihiko Kasahara,31-Jul-20,origami,
